GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
495210545,Descent2e,5,GAME_OVER,239,0,4,17,,,,,,,,,,,,,
623067577,Descent2e,0,ROUND_OVER,98,10,4,18,,,,,,,,,,,,,
623067577,Descent2e,1,ROUND_OVER,140,9,4,18,,,,Barghest minion 2 (1912507) defeated by Leoric of the Book (1912422),,,,,,,,,
623067577,Descent2e,2,ROUND_OVER,165,9,4,18,,,,,,,,,,,,,
623067577,Descent2e,3,ROUND_OVER,192,8,4,18,Barghest minion 1 (1912497) defeated by Jain Fairwood (1912435),,,,,,,,,,,,
623067577,Descent2e,4,ROUND_OVER,222,8,4,18,,,,,,,,,,,,,
623067577,Descent2e,5,GAME_OVER,223,0,4,18,,,,,,,,,,,,,
1348299175,Descent2e,0,ROUND_OVER,102,10,4,19,,,,,,,,,,,,,
1348299175,Descent2e,1,ROUND_OVER,148,10,4,19,,,,,,,,,,,,,
1348299175,Descent2e,2,ROUND_OVER,197,10,4,19,,,,,,,,,,,,,
1348299175,Descent2e,3,ROUND_OVER,249,10,4,19,,,,,,,,,,,,,
1348299175,Descent2e,4,GAME_OVER,250,0,4,19,,,,,,,,,,,,,
-371345131,Descent2e,0,ROUND_OVER,121,10,4,20,,,,,,,,,,,,,
-371345131,Descent2e,1,ROUND_OVER,161,10,4,20,,,,,,,,,,,,,
-371345131,Descent2e,2,ROUND_OVER,207,9,4,20,Barghest minion 1 (2143759) defeated by Jain Fairwood (2143697),,,,,,,,,,,,
-371345131,Descent2e,3,ROUND_OVER,245,9,4,20,,,,,,,,,,,,,
-371345131,Descent2e,4,GAME_OVER,247,0,4,20,,,,,,,,,,,,,
1431328153,Descent2e,0,ROUND_OVER,100,10,4,21,,,,,,,,,,,,,
1431328153,Descent2e,1,ROUND_OVER,145,10,4,21,,,,,,,,,,,,,
1431328153,Descent2e,2,ROUND_OVER,185,10,4,21,,,,,,,,,,,,,
1431328153,Descent2e,3,ROUND_OVER,225,10,4,21,,,,,,,,,,,,,
1431328153,Descent2e,4,GAME_OVER,226,0,4,21,,,,,,,,,,,,,
-538768873,Descent2e,0,ROUND_OVER,100,10,4,22,,,,,,,,,,,,,
-538768873,Descent2e,1,ROUND_OVER,141,9,4,22,,,,Barghest minion 2 (2374365) defeated by Syndrael (2374294),,,,,,,,,
-538768873,Descent2e,2,ROUND_OVER,176,9,4,22,,,,,,,,,,,,,
-538768873,Descent2e,3,ROUND_OVER,213,8,4,22,Barghest minion 1 (2374355) defeated by Syndrael (2374294),,,,,,,,,,,,
-538768873,Descent2e,4,GAME_OVER,214,0,4,22,,,,,,,,,,,,,
-131927630,Descent2e,0,ROUND_OVER,108,10,4,23,,,,,,,,,,,,,
