GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),Heroes(Hero 2 Archetype),Heroes(Hero 1 Archetype),Heroes(Hero 1 Class),Heroes(Hero 3 Class),Heroes(Hero 2 Class),Heroes(Hero 1),Heroes(Hero 3),Heroes(Hero 3 Archetype),Heroes(Hero 2)
-1124368768,Descent2e,0,ABOUT_TO_START,0,0,4,226,"(7,3)","(2,15)",,"(6,5)","(1,15)","(1,16)",,"(2,3)",,"(2,5)","(4,7)","(5,4)","(9,2)",Scout,Warrior,Berserker,Disciple,Thief,Syndrael,Avric Albright,Healer,Jain Fairwood
-1021998975,Descent2e,0,ABOUT_TO_START,0,0,4,227,"(7,3)","(1,15)",,"(8,2)","(2,16)","(2,15)",,"(3,2)",,"(5,6)","(3,7)","(2,2)","(9,4)",Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Tomble Burrowell
883468036,Descent2e,0,ABOUT_TO_START,0,0,4,228,"(9,5)","(2,16)",,"(10,6)","(2,15)","(1,16)",,"(2,4)",,"(3,4)","(2,2)","(3,5)","(7,4)",Mage,Warrior,Berserker,Disciple,Runemaster,Grisban the Thirsty,Avric Albright,Healer,Leoric of the Book
-1358304835,Descent2e,0,ABOUT_TO_START,0,0,4,229,"(6,2)","(1,16)",,"(9,2)","(1,15)","(2,15)",,"(2,6)",,"(3,7)","(2,3)","(3,3)","(7,2)",Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Avric Albright,Healer,Widow Tarha
1564042337,Descent2e,0,ABOUT_TO_START,0,0,4,230,"(10,6)","(2,16)",,"(6,2)","(1,16)","(1,15)",,"(4,7)",,"(4,3)","(5,2)","(2,3)","(7,2)",Healer,Mage,Runemaster,Berserker,Disciple,Leoric of the Book,Syndrael,Warrior,Ashrian
1546646484,Descent2e,0,ABOUT_TO_START,0,0,4,231,"(9,5)","(1,16)",,"(6,5)","(2,15)","(2,16)",,"(3,2)",,"(2,4)","(4,5)","(3,7)","(11,5)",Scout,Mage,Runemaster,Berserker,Thief,Widow Tarha,Grisban the Thirsty,Warrior,Tomble Burrowell
1319215497,Descent2e,0,ABOUT_TO_START,0,0,4,232,"(9,6)","(1,16)",,"(9,3)","(2,16)","(1,15)",,"(2,5)",,"(4,7)","(4,6)","(5,7)","(6,4)",Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Tomble Burrowell,Scout,Widow Tarha
-2049994330,Descent2e,0,ABOUT_TO_START,0,0,4,233,"(10,5)","(2,16)",,"(8,2)","(2,15)","(1,15)",,"(2,4)",,"(5,7)","(5,5)","(4,6)","(9,4)",Warrior,Mage,Runemaster,Thief,Berserker,Widow Tarha,Jain Fairwood,Scout,Syndrael
399120975,Descent2e,0,ABOUT_TO_START,0,0,4,234,"(7,4)","(1,15)",,"(6,5)","(1,16)","(2,15)",,"(5,2)",,"(4,2)","(4,3)","(3,3)","(9,2)",Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Jain Fairwood,Scout,Leoric of the Book
203295418,Descent2e,0,ABOUT_TO_START,0,0,4,235,"(7,3)","(2,16)",,"(10,6)","(1,16)","(1,15)",,"(2,3)",,"(5,3)","(3,2)","(4,7)","(9,3)",Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Widow Tarha,Mage,Tomble Burrowell
-385379532,Descent2e,0,ABOUT_TO_START,0,0,4,236,"(9,4)","(1,15)",,"(11,5)","(1,16)","(2,15)",,"(3,2)",,"(3,4)","(2,4)","(3,3)","(10,5)",Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Widow Tarha,Mage,Tomble Burrowell
-840590086,Descent2e,0,ABOUT_TO_START,0,0,4,237,"(9,2)","(2,15)",,"(6,4)","(1,16)","(2,16)",,"(4,6)",,"(4,4)","(2,3)","(5,7)","(11,5)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Leoric of the Book,Mage,Avric Albright
1854572159,Descent2e,0,ABOUT_TO_START,0,0,4,238,"(7,2)","(2,16)",,"(9,3)","(1,16)","(2,15)",,"(2,7)",,"(2,6)","(3,3)","(3,5)","(10,3)",Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Jain Fairwood,Scout,Grisban the Thirsty
-2072968360,Descent2e,0,ABOUT_TO_START,0,0,4,239,"(10,3)","(2,16)",,"(6,4)","(1,15)","(2,15)",,"(5,4)",,"(5,6)","(2,3)","(4,3)","(11,6)",Scout,Warrior,Berserker,Disciple,Thief,Syndrael,Ashrian,Healer,Jain Fairwood
564948201,Descent2e,0,ABOUT_TO_START,0,0,4,240,"(9,5)","(1,15)",,"(9,3)","(2,16)","(1,16)",,"(4,2)",,"(3,5)","(2,4)","(5,4)","(6,3)",Warrior,Healer,Disciple,Thief,Berserker,Avric Albright,Jain Fairwood,Scout,Grisban the Thirsty
242489441,Descent2e,0,ABOUT_TO_START,0,0,4,241,"(10,6)","(2,16)",,"(9,2)","(2,15)","(1,16)",,"(3,7)",,"(5,3)","(3,3)","(5,5)","(11,6)",Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Syndrael,Warrior,Jain Fairwood
-2020288483,Descent2e,0,ABOUT_TO_START,0,0,4,242,"(10,5)","(2,15)",,"(11,6)","(1,16)","(1,15)",,"(3,4)",,"(4,3)","(5,7)","(2,2)","(9,3)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Avric Albright
1086074626,Descent2e,0,ABOUT_TO_START,0,0,4,243,"(10,6)","(2,15)",,"(9,5)","(1,15)","(1,16)",,"(5,7)",,"(4,5)","(3,3)","(2,7)","(8,3)",Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Widow Tarha,Mage,Tomble Burrowell
-1032405027,Descent2e,0,ABOUT_TO_START,0,0,4,244,"(10,3)","(1,16)",,"(6,2)","(2,15)","(2,16)",,"(4,5)",,"(4,6)","(4,3)","(5,7)","(9,5)",Warrior,Scout,Thief,Runemaster,Berserker,Jain Fairwood,Leoric of the Book,Mage,Syndrael
-87541493,Descent2e,0,ABOUT_TO_START,0,0,4,245,"(11,6)","(1,16)",,"(11,4)","(2,15)","(1,15)",,"(2,2)",,"(5,3)","(3,7)","(4,7)","(9,3)",Mage,Healer,Disciple,Thief,Runemaster,Ashrian,Tomble Burrowell,Scout,Leoric of the Book
-543934832,Descent2e,0,ABOUT_TO_START,0,0,4,246,"(9,6)","(2,15)",,"(10,6)","(1,16)","(2,16)",,"(4,2)",,"(4,5)","(3,6)","(2,4)","(11,4)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Avric Albright
777892406,Descent2e,0,ABOUT_TO_START,0,0,4,247,"(7,3)","(1,16)",,"(10,6)","(2,15)","(1,15)",,"(4,2)",,"(2,4)","(4,6)","(5,3)","(6,5)",Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Syndrael,Warrior,Avric Albright
873285756,Descent2e,0,ABOUT_TO_START,0,0,4,248,"(11,5)","(2,16)",,"(9,5)","(1,15)","(2,15)",,"(5,6)",,"(2,3)","(4,6)","(4,5)","(6,4)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Leoric of the Book,Mage,Avric Albright
-1504225346,Descent2e,0,ABOUT_TO_START,0,0,4,249,"(6,4)","(2,15)",,"(10,4)","(2,16)","(1,16)",,"(2,3)",,"(3,4)","(3,3)","(3,2)","(9,4)",Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Grisban the Thirsty,Warrior,Avric Albright
-351428350,Descent2e,0,ABOUT_TO_START,0,0,4,250,"(6,3)","(1,16)",,"(10,4)","(2,15)","(2,16)",,"(5,7)",,"(2,7)","(2,6)","(4,6)","(9,4)",Healer,Mage,Runemaster,Berserker,Disciple,Widow Tarha,Grisban the Thirsty,Warrior,Ashrian
1460029387,Descent2e,0,ABOUT_TO_START,0,0,4,251,"(7,2)","(2,16)",,"(6,2)","(1,16)","(2,15)",,"(4,6)",,"(2,7)","(2,5)","(2,4)","(9,6)",Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Avric Albright,Healer,Leoric of the Book
519422861,Descent2e,0,ABOUT_TO_START,0,0,4,252,"(7,3)","(2,15)",,"(6,2)","(1,16)","(2,16)",,"(5,5)",,"(2,3)","(4,4)","(2,7)","(11,4)",Mage,Warrior,Berserker,Disciple,Runemaster,Syndrael,Avric Albright,Healer,Widow Tarha
-2020734670,Descent2e,0,ABOUT_TO_START,0,0,4,253,"(6,2)","(2,15)",,"(10,5)","(1,16)","(2,16)",,"(2,5)",,"(4,7)","(5,3)","(4,6)","(11,6)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Ashrian
-1646738913,Descent2e,0,ABOUT_TO_START,0,0,4,254,"(7,4)","(2,15)",,"(6,2)","(2,16)","(1,16)",,"(4,4)",,"(2,3)","(5,3)","(4,3)","(9,6)",Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Syndrael,Warrior,Widow Tarha
1310557033,Descent2e,0,ABOUT_TO_START,0,0,4,255,"(9,4)","(2,16)",,"(10,6)","(2,15)","(1,16)",,"(5,6)",,"(5,7)","(3,6)","(4,5)","(7,3)",Scout,Warrior,Berserker,Disciple,Thief,Grisban the Thirsty,Ashrian,Healer,Jain Fairwood
-303468140,Descent2e,0,ABOUT_TO_START,0,0,4,256,"(6,2)","(2,15)",,"(11,6)","(1,16)","(1,15)",,"(4,6)",,"(5,3)","(3,7)","(4,3)","(9,2)",Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Leoric of the Book,Mage,Ashrian
-1140332644,Descent2e,0,ABOUT_TO_START,0,0,4,257,"(8,2)","(1,15)",,"(9,3)","(1,16)","(2,15)",,"(2,5)",,"(3,5)","(3,2)","(4,7)","(6,3)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Ashrian
-1033126884,Descent2e,0,ABOUT_TO_START,0,0,4,258,"(9,5)","(2,16)",,"(10,4)","(1,15)","(1,16)",,"(5,4)",,"(2,4)","(4,6)","(4,5)","(11,5)",Warrior,Mage,Runemaster,Disciple,Berserker,Widow Tarha,Ashrian,Healer,Grisban the Thirsty
16992059,Descent2e,0,ABOUT_TO_START,0,0,4,259,"(7,3)","(1,15)",,"(8,2)","(2,15)","(2,16)",,"(4,5)",,"(3,4)","(2,5)","(2,6)","(9,3)",Mage,Scout,Thief,Berserker,Runemaster,Jain Fairwood,Grisban the Thirsty,Warrior,Leoric of the Book
-479990665,Descent2e,0,ABOUT_TO_START,0,0,4,260,"(11,4)","(1,16)",,"(6,5)","(2,16)","(2,15)",,"(5,7)",,"(2,3)","(5,6)","(3,2)","(8,2)",Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Tomble Burrowell,Scout,Widow Tarha
-1249779320,Descent2e,0,ABOUT_TO_START,0,0,4,261,"(11,5)","(1,15)",,"(9,4)","(2,15)","(2,16)",,"(4,2)",,"(4,6)","(3,5)","(4,7)","(10,6)",Warrior,Scout,Thief,Runemaster,Berserker,Jain Fairwood,Widow Tarha,Mage,Grisban the Thirsty
-750178054,Descent2e,0,ABOUT_TO_START,0,0,4,262,"(7,2)","(2,16)",,"(10,6)","(2,15)","(1,15)",,"(2,2)",,"(5,5)","(5,2)","(4,4)","(9,5)",Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Tomble Burrowell,Scout,Grisban the Thirsty
-1123655453,Descent2e,0,ABOUT_TO_START,0,0,4,263,"(6,2)","(2,15)",,"(8,2)","(1,15)","(2,16)",,"(2,2)",,"(5,6)","(3,2)","(2,4)","(9,2)",Healer,Mage,Runemaster,Thief,Disciple,Leoric of the Book,Tomble Burrowell,Scout,Ashrian
2107061092,Descent2e,0,ABOUT_TO_START,0,0,4,264,"(11,4)","(1,15)",,"(8,2)","(2,16)","(2,15)",,"(3,5)",,"(4,7)","(3,2)","(5,6)","(10,5)",Scout,Healer,Disciple,Berserker,Thief,Ashrian,Syndrael,Warrior,Tomble Burrowell
-1180556821,Descent2e,0,ABOUT_TO_START,0,0,4,265,"(11,6)","(2,16)",,"(7,3)","(2,15)","(1,16)",,"(3,3)",,"(4,7)","(5,4)","(2,3)","(8,3)",Scout,Healer,Disciple,Berserker,Thief,Ashrian,Grisban the Thirsty,Warrior,Tomble Burrowell
1209010955,Descent2e,0,ABOUT_TO_START,0,0,4,266,"(8,6)","(2,15)",,"(11,4)","(1,15)","(1,16)",,"(3,4)",,"(2,3)","(3,6)","(4,5)","(10,5)",Warrior,Mage,Runemaster,Disciple,Berserker,Leoric of the Book,Ashrian,Healer,Syndrael
2129887662,Descent2e,0,ABOUT_TO_START,0,0,4,267,"(9,5)","(2,15)",,"(6,2)","(2,16)","(1,16)",,"(5,4)",,"(5,3)","(2,6)","(5,6)","(7,4)",Mage,Warrior,Berserker,Disciple,Runemaster,Grisban the Thirsty,Avric Albright,Healer,Leoric of the Book
-1321594639,Descent2e,0,ABOUT_TO_START,0,0,4,268,"(8,3)","(1,15)",,"(8,6)","(1,16)","(2,15)",,"(2,2)",,"(2,5)","(4,5)","(5,4)","(9,3)",Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Grisban the Thirsty,Warrior,Leoric of the Book
-1127357064,Descent2e,0,ABOUT_TO_START,0,0,4,269,"(9,3)","(1,15)",,"(10,6)","(2,15)","(2,16)",,"(3,5)",,"(4,6)","(4,4)","(5,3)","(6,3)",Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Grisban the Thirsty
1637927349,Descent2e,0,ABOUT_TO_START,0,0,4,270,"(7,2)","(2,15)",,"(8,6)","(1,15)","(2,16)",,"(3,7)",,"(5,2)","(3,4)","(5,7)","(11,5)",Mage,Scout,Thief,Berserker,Runemaster,Tomble Burrowell,Grisban the Thirsty,Warrior,Widow Tarha
513738248,Descent2e,0,ABOUT_TO_START,0,0,4,271,"(6,5)","(2,16)",,"(7,3)","(2,15)","(1,16)",,"(3,3)",,"(5,3)","(2,5)","(4,7)","(8,2)",Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Grisban the Thirsty,Warrior,Widow Tarha
-1286324348,Descent2e,0,ABOUT_TO_START,0,0,4,272,"(6,4)","(1,16)",,"(8,2)","(2,15)","(1,15)",,"(2,7)",,"(3,4)","(4,7)","(2,3)","(7,4)",Warrior,Scout,Thief,Disciple,Berserker,Tomble Burrowell,Avric Albright,Healer,Syndrael
-84487886,Descent2e,0,ABOUT_TO_START,0,0,4,273,"(9,2)","(2,16)",,"(11,4)","(1,16)","(2,15)",,"(4,5)",,"(5,7)","(5,6)","(3,4)","(9,4)",Healer,Warrior,Berserker,Thief,Disciple,Syndrael,Jain Fairwood,Scout,Avric Albright
-574335371,Descent2e,0,ABOUT_TO_START,0,0,4,274,"(9,2)","(2,15)",,"(6,5)","(1,15)","(1,16)",,"(5,3)",,"(5,4)","(4,6)","(4,5)","(9,6)",Scout,Mage,Runemaster,Disciple,Thief,Widow Tarha,Avric Albright,Healer,Tomble Burrowell
-2013315022,Descent2e,0,ABOUT_TO_START,0,0,4,275,"(8,6)","(2,16)",,"(9,3)","(2,15)","(1,16)",,"(5,4)",,"(2,2)","(5,7)","(5,2)","(10,4)",Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Widow Tarha,Mage,Syndrael
-562171916,Descent2e,0,ABOUT_TO_START,0,0,4,276,"(6,5)","(1,15)",,"(6,3)","(2,16)","(1,16)",,"(5,5)",,"(3,5)","(4,4)","(3,6)","(9,2)",Scout,Mage,Runemaster,Berserker,Thief,Leoric of the Book,Syndrael,Warrior,Jain Fairwood
-36790718,Descent2e,0,ABOUT_TO_START,0,0,4,277,"(11,5)","(2,15)",,"(10,6)","(1,16)","(1,15)",,"(5,5)",,"(4,3)","(4,7)","(2,6)","(6,3)",Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Widow Tarha
1190962726,Descent2e,0,ABOUT_TO_START,0,0,4,278,"(7,4)","(2,15)",,"(8,3)","(2,16)","(1,16)",,"(4,4)",,"(2,3)","(4,2)","(2,4)","(11,5)",Warrior,Scout,Thief,Runemaster,Berserker,Jain Fairwood,Leoric of the Book,Mage,Grisban the Thirsty
-896255439,Descent2e,0,ABOUT_TO_START,0,0,4,279,"(10,5)","(2,16)",,"(11,4)","(1,15)","(2,15)",,"(2,4)",,"(3,2)","(2,7)","(3,3)","(6,5)",Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Leoric of the Book,Mage,Grisban the Thirsty
-549546384,Descent2e,0,ABOUT_TO_START,0,0,4,280,"(6,2)","(2,15)",,"(10,4)","(1,16)","(2,16)",,"(3,4)",,"(3,2)","(5,6)","(3,5)","(8,3)",Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Widow Tarha,Mage,Jain Fairwood
1198075658,Descent2e,0,ABOUT_TO_START,0,0,4,281,"(9,2)","(2,16)",,"(6,3)","(1,16)","(1,15)",,"(5,5)",,"(4,7)","(4,4)","(3,2)","(6,5)",Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Syndrael,Warrior,Avric Albright
15182467,Descent2e,0,ABOUT_TO_START,0,0,4,282,"(8,2)","(2,16)",,"(10,4)","(1,16)","(2,15)",,"(5,7)",,"(4,2)","(5,5)","(3,2)","(11,5)",Mage,Healer,Disciple,Berserker,Runemaster,Ashrian,Syndrael,Warrior,Widow Tarha
