GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-45227027,Descent2e,4,GAME_OVER,236,0,4,373,0
1252990121,Descent2e,4,GAME_OVER,236,0,4,374,0
1310528845,Descent2e,4,GAME_OVER,262,0,4,375,0
246764018,Descent2e,4,GAME_OVER,240,0,4,376,0
-937764496,Descent2e,4,GAME_OVER,244,0,4,377,0
1056067181,Descent2e,4,GAME_OVER,218,0,4,378,0
1611519387,Descent2e,4,GAME_OVER,207,2,4,379,1
-274414445,Descent2e,5,GAME_OVER,340,0,4,380,0
83183408,Descent2e,4,GAME_OVER,247,0,4,381,0
-508062535,Descent2e,4,GAME_OVER,251,0,4,382,0
43994581,Descent2e,4,GAME_OVER,191,0,4,383,0
-942635366,Descent2e,4,GAME_OVER,257,0,4,384,0
658444493,Descent2e,5,GAME_OVER,252,0,4,385,0
-2068462839,Descent2e,5,GAME_OVER,269,0,4,386,0
-1218212916,Descent2e,4,GAME_OVER,258,0,4,387,0
-181815179,Descent2e,5,GAME_OVER,286,0,4,388,0
-570581829,Descent2e,4,GAME_OVER,245,0,4,389,0
-1880819417,Descent2e,4,GAME_OVER,258,0,4,390,0
-636380340,Descent2e,5,GAME_OVER,310,0,4,391,0
-1124286373,Descent2e,4,GAME_OVER,206,0,4,392,0
-653908905,Descent2e,4,GAME_OVER,230,0,4,393,0
1874768812,Descent2e,4,GAME_OVER,238,0,4,394,0
1381181002,Descent2e,3,GAME_OVER,181,2,4,395,1
-2040711062,Descent2e,4,GAME_OVER,274,0,4,396,0
1645637947,Descent2e,4,GAME_OVER,240,0,4,397,0
1615847623,Descent2e,4,GAME_OVER,236,0,4,398,0
1708090457,Descent2e,4,GAME_OVER,253,0,4,399,0
1927289615,Descent2e,5,GAME_OVER,309,0,4,400,0
1277926354,Descent2e,4,GAME_OVER,214,0,4,401,0
1288764732,Descent2e,4,GAME_OVER,246,0,4,402,0
-844034718,Descent2e,4,GAME_OVER,240,0,4,403,0
-1230909015,Descent2e,5,GAME_OVER,278,0,4,404,0
-1771200722,Descent2e,3,GAME_OVER,174,1,4,405,1
-197886544,Descent2e,5,GAME_OVER,239,0,4,406,0
1015825300,Descent2e,4,GAME_OVER,220,0,4,407,0
1884031344,Descent2e,4,GAME_OVER,231,0,4,408,0
-1642080744,Descent2e,4,GAME_OVER,260,0,4,409,0
-480507869,Descent2e,4,GAME_OVER,230,0,4,410,0
912566425,Descent2e,5,GAME_OVER,270,0,4,411,0
-1096191341,Descent2e,4,GAME_OVER,224,0,4,412,0
2037626216,Descent2e,4,GAME_OVER,223,0,4,413,0
296305084,Descent2e,4,GAME_OVER,221,2,4,414,1
2078478857,Descent2e,5,GAME_OVER,242,0,4,415,0
-1718366816,Descent2e,4,GAME_OVER,260,0,4,416,0
1159485335,Descent2e,4,GAME_OVER,247,0,4,417,0
2091332812,Descent2e,4,GAME_OVER,249,0,4,418,0
114135331,Descent2e,4,GAME_OVER,230,0,4,419,0
1508567849,Descent2e,4,GAME_OVER,198,0,4,420,0
-715739758,Descent2e,4,GAME_OVER,238,0,4,421,0
