GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-3,Player-2,PlayerName-1,PlayerName-2,PlayerName-3
-2086788165,Descent2e,4,GAME_OVER,276,0,4,149,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1454294430,Descent2e,2,GAME_OVER,134,1,4,150,OSLA,19.285714285714285,-19.285714285714285,19.285714285714285,19.285714285714285,OSLA,OSLA,OSLA
-1894694341,Descent2e,4,GAME_OVER,229,0,4,151,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1110277337,Descent2e,4,GAME_OVER,257,0,4,152,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
105181104,Descent2e,4,GAME_OVER,219,0,4,153,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1741820661,Descent2e,4,GAME_OVER,242,0,4,154,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1191131318,Descent2e,5,GAME_OVER,237,0,4,155,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1450489765,Descent2e,4,GAME_OVER,231,0,4,156,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1335747697,Descent2e,4,GAME_OVER,237,0,4,157,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1297146937,Descent2e,5,GAME_OVER,268,0,4,158,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-383936935,Descent2e,5,GAME_OVER,293,0,4,159,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-78843910,Descent2e,4,GAME_OVER,249,0,4,160,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
999413502,Descent2e,4,GAME_OVER,232,0,4,161,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1698523434,Descent2e,4,GAME_OVER,236,0,4,162,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-1751122673,Descent2e,4,GAME_OVER,246,0,4,163,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
846901593,Descent2e,4,GAME_OVER,251,0,4,164,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1520978718,Descent2e,4,GAME_OVER,271,0,4,165,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
