GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1992352636,GoFish,0,GAME_OVER,101,38,2,92,mcts-500,5.0,8.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-2117472527,GoFish,0,GAME_OVER,97,37,2,93,mcts-500,4.0,9.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-1821004186,GoFish,0,GAME_OVER,101,38,2,94,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
1026227815,GoFish,0,GAME_OVER,105,39,2,95,mcts-500,5.0,8.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-651141359,GoFish,0,GAME_OVER,100,40,2,96,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-906896864,GoFish,0,GAME_OVER,99,36,2,97,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
1342710703,GoFish,0,GAME_OVER,101,36,2,98,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
2046903153,GoFish,0,GAME_OVER,102,38,2,99,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-1086811407,GoFish,0,GAME_OVER,98,36,2,100,mcts-500,3.0,10.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
744610857,GoFish,0,GAME_OVER,101,36,2,101,mcts-500,10.0,3.0,OSLA,1,mcts-500,1,2,2,OSLA,OSLA,mcts-500,1
1160790037,GoFish,0,GAME_OVER,99,34,2,102,mcts-1000,10.0,3.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
-1498142046,GoFish,0,GAME_OVER,104,39,2,103,mcts-1000,9.0,4.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
-418802376,GoFish,0,GAME_OVER,99,37,2,104,mcts-1000,3.0,10.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-2052236361,GoFish,0,GAME_OVER,99,35,2,105,mcts-1000,6.0,7.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
890666145,GoFish,0,GAME_OVER,102,37,2,106,mcts-1000,8.0,5.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
1569238478,GoFish,0,GAME_OVER,104,39,2,107,mcts-1000,3.0,10.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
-187469389,GoFish,0,GAME_OVER,102,38,2,108,mcts-1000,10.0,3.0,mcts-500,1,mcts-1000,1,2,2,mcts-500,mcts-500,mcts-1000,1
-42752577,GoFish,0,GAME_OVER,103,37,2,109,mcts-1000,6.0,7.0,mcts-500,2,mcts-1000,2,1,1,mcts-500,mcts-500,mcts-1000,0
